date,host,input,output,cache_creation,cache_read,assistant_msgs,user_msgs,estimated
2026-05-16,-,905,66060,277162,9312944,102,119,1
2026-05-17,-,4297,313786,1316520,44236483,486,564,1
2026-05-18,-,1357,99090,415743,13969416,154,178,1
2026-05-19,mac-1,8103,392627,1558888,47146904,526,616,0
2026-05-20,mac-1,12583,407630,1484882,58936608,700,823,0
2026-05-21,mac-1,498,126725,482037,8971466,117,162,0
2026-05-22,mac-1,2791,823611,3818990,131738035,1371,1543,0
2026-05-23,mac-1,5999,1227194,3968606,206707909,1946,2275,0
2026-05-24,mac-1,5229,845209,3960370,320284729,1479,1692,0
2026-05-25,mac-1,663,311056,903289,42658934,529,660,0
2026-05-26,mac-1,2695,1028600,3689570,177743062,1850,2076,0
2026-05-27,mac-1,903,398133,2650289,122476721,651,792,0
2026-05-28,mac-1,297,161719,768182,49040916,237,318,0
2026-05-29,mac-1,707,234606,1384659,38142940,428,501,0
2026-05-30,mac-1,10930,592800,2167589,95530685,907,1113,0
2026-05-31,mac-1,699,289562,1423625,48002292,502,594,0
2026-06-01,mac-1,236,136397,706275,21712933,181,210,0
2026-06-02,mac-1,51209,341027,1459336,68621710,543,659,0
2026-06-03,mac-1,160330,879626,3527105,111211674,975,1037,0
2026-06-04,mac-1,67315,208025,722660,34026781,356,365,0
2026-06-05,mac-1,24843,119257,677066,11867127,152,155,0
2026-06-06,mac-1,155399,852983,2596072,140854043,921,1019,0
2026-06-07,mac-1,138091,718473,2528780,105558292,902,966,0
2026-06-08,mac-1,397459,1685217,6814829,227485205,1935,2173,0
2026-06-09,mac-1,80187,456050,1574702,73002944,502,567,0
2026-06-10,mac-1,13982,111864,369484,32869078,168,179,0
2026-06-11,mac-1,33617,113398,1725858,36063261,187,242,0
2026-06-12,mac-1,104868,514359,2481424,92492926,609,776,0
2026-06-13,mac-1,67766,536397,1597548,111974890,486,546,0
2026-06-14,mac-1,382567,1761314,10978342,413092741,1883,2041,0
2026-06-15,mac-1,288667,818249,4921146,127844656,1044,1122,0
2026-06-16,mac-1,277915,866019,4862684,142911537,1137,1302,0
2026-06-17,mac-1,228822,798267,3898330,142037441,1080,1191,0
2026-06-18,mac-1,128527,409667,1803002,67314219,580,628,0
2026-06-19,mac-1,221390,1336567,4662544,261470786,1510,1608,0
2026-06-20,mac-1,346829,2011849,7171660,505628384,2050,2191,0
2026-06-21,mac-1,401754,1772610,7656930,379423594,1677,1832,0
2026-06-22,mac-1,166653,763291,3759195,236097602,742,789,0
2026-06-23,mac-1,171348,617552,4649879,158765068,875,944,0
